Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,73,2,Some Random Commen with Id 0
1,0,6,191,6,Some Random Commen with Id 1
2,0,6,75,4,Some Random Commen with Id 2
3,0,6,182,0,Some Random Commen with Id 3
4,0,6,136,5,Some Random Commen with Id 4
5,1,6,68,0,Some Random Commen with Id 5
6,1,6,169,3,Some Random Commen with Id 6
7,1,6,170,8,Some Random Commen with Id 7
8,1,6,195,2,Some Random Commen with Id 8
9,2,6,198,5,Some Random Commen with Id 9
10,2,6,185,3,Some Random Commen with Id 10
11,2,6,162,7,Some Random Commen with Id 11
12,2,6,55,4,Some Random Commen with Id 12
13,2,6,152,4,Some Random Commen with Id 13
14,3,8,122,8,Some Random Commen with Id 14
15,3,8,114,1,Some Random Commen with Id 15
16,3,8,47,1,Some Random Commen with Id 16
17,3,8,173,1,Some Random Commen with Id 17
18,3,8,63,2,Some Random Commen with Id 18
19,3,8,13,1,Some Random Commen with Id 19
20,3,8,129,2,Some Random Commen with Id 20
21,3,8,41,0,Some Random Commen with Id 21
22,5,4,82,8,Some Random Commen with Id 22
23,5,4,170,3,Some Random Commen with Id 23
24,5,4,112,0,Some Random Commen with Id 24
25,5,4,126,2,Some Random Commen with Id 25
26,5,4,78,7,Some Random Commen with Id 26
27,5,4,61,1,Some Random Commen with Id 27
28,6,7,37,7,Some Random Commen with Id 28
29,6,7,156,3,Some Random Commen with Id 29
30,6,7,0,1,Some Random Commen with Id 30
31,7,5,175,4,Some Random Commen with Id 31
32,7,5,82,7,Some Random Commen with Id 32
33,8,0,27,6,Some Random Commen with Id 33
34,8,0,187,5,Some Random Commen with Id 34
35,8,0,21,2,Some Random Commen with Id 35
36,8,0,85,2,Some Random Commen with Id 36
37,8,0,147,8,Some Random Commen with Id 37
38,8,0,112,4,Some Random Commen with Id 38
39,8,0,64,4,Some Random Commen with Id 39
40,9,4,151,2,Some Random Commen with Id 40
41,9,4,199,3,Some Random Commen with Id 41
42,9,4,169,4,Some Random Commen with Id 42
43,9,4,166,5,Some Random Commen with Id 43
44,9,4,66,9,Some Random Commen with Id 44
45,9,4,198,4,Some Random Commen with Id 45
46,9,4,1,9,Some Random Commen with Id 46
47,9,4,63,1,Some Random Commen with Id 47
48,9,4,162,8,Some Random Commen with Id 48
49,10,9,90,7,Some Random Commen with Id 49
50,10,9,83,3,Some Random Commen with Id 50
51,10,9,46,5,Some Random Commen with Id 51
52,10,9,73,3,Some Random Commen with Id 52
53,10,9,1,4,Some Random Commen with Id 53
54,10,9,144,4,Some Random Commen with Id 54
55,11,0,166,7,Some Random Commen with Id 55
56,11,0,51,6,Some Random Commen with Id 56
57,12,7,18,5,Some Random Commen with Id 57
58,12,7,14,9,Some Random Commen with Id 58
59,12,7,89,0,Some Random Commen with Id 59
60,12,7,166,9,Some Random Commen with Id 60
61,12,7,106,0,Some Random Commen with Id 61
62,12,7,62,2,Some Random Commen with Id 62
63,13,7,67,7,Some Random Commen with Id 63
64,13,7,15,9,Some Random Commen with Id 64
65,14,3,141,1,Some Random Commen with Id 65
66,14,3,87,6,Some Random Commen with Id 66
67,14,3,187,0,Some Random Commen with Id 67
68,14,3,53,9,Some Random Commen with Id 68
69,14,3,149,7,Some Random Commen with Id 69
70,15,4,152,3,Some Random Commen with Id 70
71,15,4,147,4,Some Random Commen with Id 71
72,15,4,198,2,Some Random Commen with Id 72
73,15,4,4,5,Some Random Commen with Id 73
74,15,4,21,1,Some Random Commen with Id 74
75,15,4,116,8,Some Random Commen with Id 75
76,15,4,171,8,Some Random Commen with Id 76
77,15,4,127,9,Some Random Commen with Id 77
78,16,1,184,9,Some Random Commen with Id 78
