Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,22,1,Some Random Commen with Id 0
1,0,7,194,7,Some Random Commen with Id 1
2,0,7,109,0,Some Random Commen with Id 2
3,0,7,169,0,Some Random Commen with Id 3
4,0,7,192,4,Some Random Commen with Id 4
5,0,7,191,1,Some Random Commen with Id 5
6,0,7,72,1,Some Random Commen with Id 6
7,1,1,147,5,Some Random Commen with Id 7
8,1,1,142,4,Some Random Commen with Id 8
9,1,1,78,4,Some Random Commen with Id 9
10,1,1,82,2,Some Random Commen with Id 10
11,2,0,194,9,Some Random Commen with Id 11
12,2,0,89,0,Some Random Commen with Id 12
13,2,0,93,5,Some Random Commen with Id 13
14,2,0,63,3,Some Random Commen with Id 14
15,2,0,161,6,Some Random Commen with Id 15
16,3,9,30,0,Some Random Commen with Id 16
17,3,9,112,8,Some Random Commen with Id 17
18,4,4,104,1,Some Random Commen with Id 18
19,4,4,117,5,Some Random Commen with Id 19
20,4,4,69,8,Some Random Commen with Id 20
21,5,6,84,4,Some Random Commen with Id 21
22,6,0,176,5,Some Random Commen with Id 22
23,7,2,51,4,Some Random Commen with Id 23
24,7,2,155,9,Some Random Commen with Id 24
25,7,2,19,5,Some Random Commen with Id 25
26,7,2,32,1,Some Random Commen with Id 26
27,7,2,10,7,Some Random Commen with Id 27
28,7,2,135,5,Some Random Commen with Id 28
29,7,2,53,2,Some Random Commen with Id 29
30,7,2,81,5,Some Random Commen with Id 30
31,8,2,73,8,Some Random Commen with Id 31
32,8,2,45,6,Some Random Commen with Id 32
33,8,2,52,4,Some Random Commen with Id 33
34,8,2,25,6,Some Random Commen with Id 34
35,8,2,165,8,Some Random Commen with Id 35
36,8,2,92,3,Some Random Commen with Id 36
37,8,2,125,6,Some Random Commen with Id 37
38,8,2,109,9,Some Random Commen with Id 38
39,8,2,167,8,Some Random Commen with Id 39
40,9,9,153,1,Some Random Commen with Id 40
41,9,9,159,3,Some Random Commen with Id 41
42,9,9,95,9,Some Random Commen with Id 42
43,9,9,51,7,Some Random Commen with Id 43
44,9,9,178,8,Some Random Commen with Id 44
45,11,8,7,4,Some Random Commen with Id 45
46,12,7,64,6,Some Random Commen with Id 46
47,12,7,102,1,Some Random Commen with Id 47
48,12,7,132,5,Some Random Commen with Id 48
49,12,7,82,1,Some Random Commen with Id 49
50,12,7,66,1,Some Random Commen with Id 50
51,12,7,6,0,Some Random Commen with Id 51
52,12,7,184,3,Some Random Commen with Id 52
53,12,7,194,3,Some Random Commen with Id 53
54,12,7,89,0,Some Random Commen with Id 54
55,13,3,190,4,Some Random Commen with Id 55
56,13,3,188,7,Some Random Commen with Id 56
57,13,3,34,6,Some Random Commen with Id 57
58,13,3,56,4,Some Random Commen with Id 58
59,13,3,166,4,Some Random Commen with Id 59
60,14,5,62,4,Some Random Commen with Id 60
61,14,5,166,4,Some Random Commen with Id 61
62,14,5,115,4,Some Random Commen with Id 62
63,14,5,177,4,Some Random Commen with Id 63
64,14,5,103,4,Some Random Commen with Id 64
65,14,5,140,3,Some Random Commen with Id 65
66,14,5,168,5,Some Random Commen with Id 66
67,15,9,195,7,Some Random Commen with Id 67
68,15,9,167,5,Some Random Commen with Id 68
69,15,9,162,4,Some Random Commen with Id 69
70,16,9,56,9,Some Random Commen with Id 70
71,16,9,66,6,Some Random Commen with Id 71
72,16,9,8,6,Some Random Commen with Id 72
73,16,9,147,9,Some Random Commen with Id 73
74,16,9,86,2,Some Random Commen with Id 74
75,16,9,144,8,Some Random Commen with Id 75
76,16,9,133,3,Some Random Commen with Id 76
77,16,9,70,8,Some Random Commen with Id 77
78,17,8,180,1,Some Random Commen with Id 78
79,17,8,164,4,Some Random Commen with Id 79
