Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,129,6,Some Random Commen with Id 0
1,0,1,163,0,Some Random Commen with Id 1
2,0,1,96,0,Some Random Commen with Id 2
3,0,1,24,2,Some Random Commen with Id 3
4,0,1,96,2,Some Random Commen with Id 4
5,0,1,106,2,Some Random Commen with Id 5
6,0,1,9,6,Some Random Commen with Id 6
7,1,4,135,4,Some Random Commen with Id 7
8,1,4,67,6,Some Random Commen with Id 8
9,1,4,33,5,Some Random Commen with Id 9
10,1,4,108,0,Some Random Commen with Id 10
11,1,4,26,4,Some Random Commen with Id 11
12,2,7,104,7,Some Random Commen with Id 12
13,2,7,58,0,Some Random Commen with Id 13
14,2,7,74,4,Some Random Commen with Id 14
15,2,7,88,4,Some Random Commen with Id 15
16,2,7,15,3,Some Random Commen with Id 16
17,2,7,121,5,Some Random Commen with Id 17
18,2,7,153,6,Some Random Commen with Id 18
19,2,7,50,1,Some Random Commen with Id 19
20,3,3,3,6,Some Random Commen with Id 20
21,4,6,22,3,Some Random Commen with Id 21
22,4,6,114,3,Some Random Commen with Id 22
23,4,6,3,6,Some Random Commen with Id 23
24,5,7,102,0,Some Random Commen with Id 24
25,5,7,83,9,Some Random Commen with Id 25
26,5,7,192,4,Some Random Commen with Id 26
27,5,7,196,0,Some Random Commen with Id 27
28,5,7,17,3,Some Random Commen with Id 28
29,6,9,184,9,Some Random Commen with Id 29
30,6,9,28,8,Some Random Commen with Id 30
31,6,9,145,3,Some Random Commen with Id 31
32,6,9,158,8,Some Random Commen with Id 32
33,6,9,165,6,Some Random Commen with Id 33
34,6,9,43,4,Some Random Commen with Id 34
35,6,9,120,4,Some Random Commen with Id 35
36,6,9,130,6,Some Random Commen with Id 36
37,8,4,25,4,Some Random Commen with Id 37
38,8,4,69,2,Some Random Commen with Id 38
39,8,4,55,2,Some Random Commen with Id 39
40,8,4,82,1,Some Random Commen with Id 40
41,8,4,93,6,Some Random Commen with Id 41
42,8,4,144,1,Some Random Commen with Id 42
43,8,4,81,2,Some Random Commen with Id 43
44,8,4,131,3,Some Random Commen with Id 44
45,9,0,158,9,Some Random Commen with Id 45
46,9,0,138,1,Some Random Commen with Id 46
47,9,0,128,1,Some Random Commen with Id 47
48,9,0,157,3,Some Random Commen with Id 48
49,10,3,30,0,Some Random Commen with Id 49
50,10,3,175,7,Some Random Commen with Id 50
51,10,3,169,2,Some Random Commen with Id 51
52,10,3,75,2,Some Random Commen with Id 52
53,10,3,115,2,Some Random Commen with Id 53
54,10,3,8,6,Some Random Commen with Id 54
55,10,3,77,9,Some Random Commen with Id 55
56,12,8,180,4,Some Random Commen with Id 56
57,13,2,131,9,Some Random Commen with Id 57
58,13,2,174,6,Some Random Commen with Id 58
59,13,2,64,1,Some Random Commen with Id 59
60,13,2,186,2,Some Random Commen with Id 60
61,13,2,166,8,Some Random Commen with Id 61
62,13,2,74,9,Some Random Commen with Id 62
63,14,8,146,5,Some Random Commen with Id 63
64,14,8,56,8,Some Random Commen with Id 64
65,14,8,96,3,Some Random Commen with Id 65
66,14,8,66,2,Some Random Commen with Id 66
67,15,6,156,8,Some Random Commen with Id 67
68,15,6,49,7,Some Random Commen with Id 68
69,15,6,82,3,Some Random Commen with Id 69
70,15,6,53,6,Some Random Commen with Id 70
71,15,6,106,4,Some Random Commen with Id 71
72,15,6,21,6,Some Random Commen with Id 72
73,16,2,67,3,Some Random Commen with Id 73
74,16,2,194,3,Some Random Commen with Id 74
75,16,2,153,5,Some Random Commen with Id 75
76,16,2,117,4,Some Random Commen with Id 76
77,16,2,199,3,Some Random Commen with Id 77
78,16,2,138,2,Some Random Commen with Id 78
79,17,4,5,5,Some Random Commen with Id 79
80,18,6,131,4,Some Random Commen with Id 80
81,18,6,160,0,Some Random Commen with Id 81
82,19,8,37,4,Some Random Commen with Id 82
83,19,8,183,2,Some Random Commen with Id 83
84,19,8,20,1,Some Random Commen with Id 84
85,19,8,7,6,Some Random Commen with Id 85
86,20,7,21,8,Some Random Commen with Id 86
87,20,7,145,9,Some Random Commen with Id 87
88,20,7,2,6,Some Random Commen with Id 88
89,20,7,189,7,Some Random Commen with Id 89
90,20,7,171,8,Some Random Commen with Id 90
91,20,7,30,2,Some Random Commen with Id 91
92,20,7,92,6,Some Random Commen with Id 92
93,20,7,97,0,Some Random Commen with Id 93
94,21,6,169,5,Some Random Commen with Id 94
95,21,6,63,6,Some Random Commen with Id 95
96,21,6,105,4,Some Random Commen with Id 96
97,21,6,94,7,Some Random Commen with Id 97
98,21,6,21,7,Some Random Commen with Id 98
99,21,6,158,2,Some Random Commen with Id 99
100,21,6,167,8,Some Random Commen with Id 100
101,21,6,91,4,Some Random Commen with Id 101
102,23,9,159,2,Some Random Commen with Id 102
103,23,9,192,8,Some Random Commen with Id 103
104,23,9,102,1,Some Random Commen with Id 104
105,23,9,84,6,Some Random Commen with Id 105
106,23,9,168,0,Some Random Commen with Id 106
107,23,9,95,7,Some Random Commen with Id 107
108,23,9,128,8,Some Random Commen with Id 108
109,25,1,139,5,Some Random Commen with Id 109
110,25,1,125,6,Some Random Commen with Id 110
111,25,1,71,5,Some Random Commen with Id 111
112,25,1,146,9,Some Random Commen with Id 112
113,25,1,168,8,Some Random Commen with Id 113
114,25,1,144,7,Some Random Commen with Id 114
115,25,1,95,4,Some Random Commen with Id 115
116,25,1,33,8,Some Random Commen with Id 116
117,26,5,7,1,Some Random Commen with Id 117
118,27,7,136,9,Some Random Commen with Id 118
119,27,7,117,2,Some Random Commen with Id 119
120,27,7,185,4,Some Random Commen with Id 120
121,27,7,48,1,Some Random Commen with Id 121
122,27,7,87,0,Some Random Commen with Id 122
123,27,7,89,9,Some Random Commen with Id 123
